iter	Passed	Remaining
0	126	126535
1	127	63737
2	128	42806
3	129	32328
4	130	26004
5	131	21807
6	132	18789
7	133	16539
8	134	14790
9	135	13404
10	136	12270
11	138	11367
12	138	10550
13	139	9854
14	140	9246
15	141	8720
16	142	8254
17	143	7835
18	144	7469
19	145	7133
20	146	6838
21	147	6561
22	148	6311
23	149	6078
24	150	5860
25	151	5688
26	152	5512
27	154	5349
28	154	5188
29	155	5037
30	156	4899
31	157	4773
32	158	4651
33	159	4532
34	160	4421
35	161	4316
36	162	4222
37	163	4134
38	164	4047
39	166	3996
40	167	3919
41	168	3849
42	169	3776
43	170	3704
44	171	3637
45	172	3571
46	173	3510
47	173	3449
48	174	3395
49	175	3341
50	176	3292
51	177	3243
52	178	3196
53	180	3156
54	181	3116
55	182	3073
56	183	3032
57	184	2990
58	185	2953
59	186	2917
60	187	2882
61	188	2845
62	188	2810
63	189	2775
64	190	2742
65	191	2709
66	192	2677
67	193	2646
68	193	2615
69	196	2605
70	196	2577
71	197	2548
72	198	2521
73	199	2494
74	200	2470
75	201	2446
76	201	2421
77	202	2399
78	203	2376
79	204	2353
80	205	2331
81	206	2308
82	206	2283
83	207	2263
84	208	2243
85	211	2245
86	212	2227
87	213	2208
88	214	2191
89	215	2174
90	216	2162
91	217	2146
92	218	2130
93	219	2114
94	220	2098
95	221	2083
96	222	2068
97	223	2054
98	226	2058
99	227	2044
100	228	2034
101	229	2020
102	230	2006
103	231	1992
104	232	1979
105	233	1965
106	235	1963
107	236	1950
108	237	1938
109	237	1925
110	238	1912
111	239	1899
112	242	1899
113	243	1888
114	244	1878
115	244	1866
116	245	1853
117	246	1843
118	247	1832
119	248	1822
120	249	1811
121	250	1799
122	250	1789
123	251	1778
124	252	1768
125	254	1762
126	256	1760
127	257	1753
128	258	1746
129	260	1743
130	261	1733
131	262	1726
132	263	1717
133	264	1708
134	265	1699
135	266	1693
136	267	1684
137	268	1676
138	269	1667
139	271	1668
140	272	1662
141	273	1653
142	274	1644
143	275	1636
144	276	1627
145	276	1619
146	277	1611
147	278	1603
148	279	1596
149	280	1588
150	281	1581
151	282	1573
152	282	1566
153	283	1559
154	284	1551
155	287	1553
156	288	1546
157	288	1538
158	289	1531
159	290	1525
160	291	1516
161	292	1510
162	292	1504
163	293	1497
164	294	1490
165	295	1483
166	295	1475
167	296	1468
168	297	1462
169	298	1458
170	299	1452
171	301	1453
172	302	1447
173	303	1442
174	305	1438
175	305	1431
176	306	1425
177	307	1419
178	308	1413
179	308	1406
180	309	1400
181	310	1394
182	311	1388
183	311	1383
184	312	1377
185	313	1371
186	314	1366
187	316	1365
188	317	1361
189	318	1356
190	318	1350
191	319	1345
192	320	1340
193	321	1335
194	322	1330
195	323	1325
196	324	1320
197	324	1315
198	325	1311
199	326	1306
200	327	1301
201	328	1296
202	329	1292
203	329	1287
204	331	1286
205	332	1282
206	334	1279
207	334	1275
208	336	1271
209	336	1267
210	337	1262
211	338	1258
212	339	1254
213	340	1249
214	341	1245
215	342	1241
216	342	1237
217	343	1232
218	344	1228
219	345	1223
220	346	1222
221	347	1218
222	348	1214
223	349	1209
224	350	1205
225	351	1202
226	351	1198
227	352	1193
228	353	1190
229	354	1185
230	354	1181
231	355	1177
232	356	1173
233	357	1169
234	358	1165
235	358	1161
236	359	1157
237	360	1153
238	361	1152
239	362	1148
240	363	1145
241	364	1141
242	365	1138
243	366	1134
244	367	1131
245	368	1128
246	369	1125
247	370	1122
248	371	1119
249	372	1116
250	373	1113
251	373	1109
252	374	1106
253	375	1104
254	377	1102
255	378	1099
256	379	1097
257	380	1094
258	381	1091
259	382	1089
260	383	1086
261	384	1084
262	385	1081
263	386	1078
264	387	1075
265	388	1072
266	389	1068
267	390	1065
268	391	1064
269	392	1061
270	393	1059
271	394	1056
272	395	1053
273	396	1050
274	397	1047
275	398	1044
276	399	1041
277	400	1038
278	401	1036
279	401	1033
280	402	1030
281	403	1027
282	404	1024
283	405	1022
284	406	1020
285	407	1017
286	408	1015
287	409	1012
288	410	1009
289	411	1006
290	411	1003
291	412	1000
292	413	997
293	414	994
294	415	992
295	415	989
296	417	987
297	417	984
298	418	981
299	419	979
300	420	976
301	421	975
302	422	972
303	423	970
304	425	968
305	425	965
306	427	964
307	427	961
308	428	958
309	429	956
310	430	953
311	431	950
312	431	948
313	432	945
314	433	943
315	434	940
316	435	938
317	436	935
318	437	933
319	438	931
320	439	928
321	439	926
322	440	923
323	441	921
324	442	918
325	443	916
326	444	914
327	445	911
328	445	909
329	446	906
330	447	904
331	448	901
332	448	899
333	449	896
334	450	894
335	451	892
336	452	890
337	453	888
338	454	886
339	455	884
340	456	882
341	457	880
342	458	877
343	459	876
344	460	874
345	461	872
346	462	870
347	463	868
348	464	865
349	466	865
350	467	865
351	469	863
352	470	861
353	471	859
354	472	857
355	473	855
356	475	856
357	476	855
358	478	853
359	479	852
360	480	850
361	482	850
362	483	848
363	485	847
364	486	845
365	487	844
366	488	842
367	490	842
368	499	854
369	500	852
370	501	850
371	502	848
372	506	850
373	507	849
374	509	848
375	510	847
376	512	846
377	513	844
378	514	842
379	515	840
380	517	840
381	518	838
382	519	836
383	520	834
384	521	832
385	522	830
386	523	828
387	524	826
388	526	826
389	527	824
390	528	822
391	529	820
392	533	824
393	534	822
394	536	821
395	537	819
396	538	817
397	539	815
398	539	813
399	542	813
400	543	811
401	544	809
402	545	808
403	546	806
404	547	804
405	548	802
406	549	800
407	550	798
408	551	796
409	552	794
410	553	792
411	554	790
412	555	788
413	556	787
414	557	785
415	558	784
416	559	781
417	560	780
418	561	778
419	562	776
420	562	774
421	564	772
422	565	771
423	566	769
424	567	767
425	567	765
426	568	763
427	569	761
428	570	759
429	572	758
430	573	757
431	574	755
432	575	753
433	576	752
434	577	750
435	579	749
436	580	748
437	582	747
438	583	745
439	584	743
440	585	742
441	587	741
442	588	740
443	589	738
444	590	736
445	591	734
446	592	733
447	594	732
448	595	731
449	597	730
450	598	728
451	599	726
452	601	726
453	602	725
454	604	723
455	605	722
456	606	720
457	607	718
458	608	716
459	609	715
460	610	713
461	611	712
462	612	710
463	613	708
464	614	706
465	615	705
466	617	704
467	618	703
468	619	701
469	620	700
470	621	698
471	622	696
472	623	694
473	624	693
474	625	691
475	626	689
476	627	687
477	627	685
478	629	684
479	631	684
480	632	682
481	633	681
482	635	679
483	637	679
484	638	677
485	639	676
486	641	675
487	642	673
488	643	672
489	646	672
490	647	671
491	648	670
492	650	668
493	651	667
494	652	665
495	653	664
496	654	662
497	655	660
498	656	659
499	657	657
500	660	657
501	661	656
502	662	654
503	663	653
504	664	651
505	666	650
506	667	648
507	668	647
508	669	645
509	670	643
510	671	642
511	672	640
512	673	639
513	675	638
514	675	636
515	676	634
516	677	632
517	678	631
518	679	629
519	680	627
520	690	634
521	691	633
522	692	631
523	693	630
524	694	628
525	695	627
526	697	625
527	698	624
528	699	622
529	700	621
530	702	620
531	703	618
532	704	617
533	705	615
534	706	613
535	707	612
536	708	610
537	709	609
538	710	607
539	711	606
540	712	604
541	714	603
542	715	601
543	716	600
544	717	598
545	718	597
546	720	596
547	720	594
548	721	593
549	722	591
550	723	589
551	724	588
552	725	586
553	726	584
554	727	583
555	728	581
556	729	580
557	730	578
558	732	577
559	733	575
560	734	574
561	735	573
562	736	571
563	737	570
564	739	569
565	740	567
566	741	566
567	742	564
568	743	563
569	744	561
570	745	559
571	746	558
572	747	556
573	747	555
574	748	553
575	749	551
576	750	550
577	751	548
578	752	547
579	753	545
580	755	544
581	755	542
582	756	541
583	757	539
584	758	537
585	759	536
586	759	534
587	760	532
588	761	531
589	762	529
590	763	528
591	764	526
592	767	526
593	768	525
594	769	523
595	769	521
596	771	520
597	772	519
598	772	517
599	773	515
600	774	514
601	775	512
602	775	510
603	776	509
604	777	507
605	778	506
606	779	504
607	779	502
608	782	502
609	783	500
610	784	499
611	785	497
612	786	496
613	787	494
614	788	493
615	789	491
616	790	490
617	790	488
618	791	487
619	792	485
620	793	484
621	793	482
622	794	480
623	797	480
624	798	479
625	799	477
626	800	476
627	801	474
628	802	473
629	803	471
630	804	470
631	804	468
632	805	467
633	806	465
634	807	463
635	807	462
636	808	460
637	809	459
638	809	457
639	812	457
640	814	455
641	815	454
642	815	453
643	817	451
644	818	450
645	818	448
646	819	447
647	820	445
648	821	444
649	821	442
650	822	441
651	823	439
652	824	437
653	824	436
654	827	435
655	828	434
656	829	432
657	830	431
658	830	429
659	831	428
660	832	426
661	833	425
662	834	424
663	834	422
664	835	420
665	836	419
666	837	417
667	837	416
668	838	414
669	839	413
670	840	411
671	842	411
672	844	410
673	844	408
674	845	407
675	846	405
676	847	404
677	848	403
678	849	401
679	850	400
680	850	398
681	851	397
682	852	395
683	853	394
684	853	392
685	854	391
686	855	389
687	858	389
688	859	387
689	860	386
690	860	385
691	861	383
692	862	382
693	863	380
694	864	379
695	865	378
696	866	376
697	866	375
698	867	373
699	868	372
700	869	370
701	870	369
702	870	367
703	872	366
704	873	365
705	874	364
706	875	362
707	876	361
708	878	360
709	879	359
710	880	357
711	881	356
712	881	355
713	882	353
714	883	352
715	884	350
716	884	349
717	886	348
718	888	347
719	889	345
720	890	344
721	891	343
722	891	341
723	892	340
724	893	338
725	894	337
726	895	336
727	897	335
728	898	333
729	899	332
730	900	331
731	902	330
732	904	329
733	905	328
734	907	327
735	908	326
736	909	324
737	910	323
738	911	322
739	913	320
740	914	319
741	916	318
742	918	317
743	919	316
744	920	314
745	921	313
746	923	312
747	924	311
748	925	310
749	926	308
750	927	307
751	928	306
752	929	304
753	930	303
754	931	302
755	933	301
756	934	299
757	935	298
758	938	297
759	939	296
760	940	295
761	941	293
762	942	292
763	943	291
764	944	290
765	947	289
766	949	288
767	951	287
768	953	286
769	954	285
770	955	283
771	956	282
772	957	281
773	958	279
774	959	278
775	963	278
776	964	276
777	965	275
778	967	274
779	968	273
780	969	271
781	970	270
